FACTS;MARKETS;CATEGORY;MANUFACTURERS;MAR_2017;APR_2017;MAY_2017;JUN_2017;JUL_2017;AUG_2017;SEP_2017;OCT_2017;NOV_2017;DEC_2017;JAN_2018;FEB_2018
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CEREALES LISTOS;T. CEREALES LISTOS;4166.8;3963.3;3874.7;4034.9;4336.5;4256.6;4136.3;4135.8;3863.7;3717.1;4164.2;4208.3
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CEREALES LISTOS;T. KELLOGG'S;2699.5;2511.3;2521.9;2661.7;2809.8;2799.1;2669.7;2649;2444.2;2388.9;2620.5;2621.4
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CEREALES LISTOS;T. NESTLE S.A;505.5;499.5;438.5;429.3;532;466;469.4;467.6;415.8;412.1;511.7;470
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CEREALES LISTOS;T. PROD QUAKER;42.7;47.3;42.8;49.6;50.5;63.1;72.7;72;55.9;56.8;57.5;57
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CEREALES LISTOS;T. NUTRESA;56.9;60.8;63.6;66.3;75.7;70.7;70.7;60.6;59.4;54;59.9;61.6
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CEREALES LISTOS;OTROS FABRICANTES;862.3;844.4;808;827.9;868.4;857.7;853.9;886.6;888.3;805.4;914.7;998.2
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CEREALES LISTOS;T. CEREALES LISTOS;2925.3;2873.8;2737.9;2671.8;2533.5;2286.3;2205.8;2237.1;2103.5;2073.6;2112.2;2253.9
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CEREALES LISTOS;T. KELLOGG'S;1808.9;1755.6;1659.8;1637.3;1598.7;1528.6;1428.9;1445.9;1354;1341.8;1378;1434.5
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CEREALES LISTOS;T. NESTLE S.A;321.4;347.4;324.5;300.4;311.4;261.4;245.9;245.5;216.8;208.9;239.6;250.4
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CEREALES LISTOS;T. PROD QUAKER;62.1;61;53.2;68.8;48.7;41.8;37.6;49.5;56;50.4;40.4;38.3
